Name,Title
Melina Eftekhari,CS at UCLA  Pindrop AI Founder & CTO
Mersad Abbasi,
Michael Brown,
Michael D,
Michael Rosinsky,
Michael Yu,
Michael Zhou,
Michel M,
Miguel Villa Floran,
Mihir Tripathy,
Mikihisa (Miki) Yuasa,
Ming Song,
Ming Yang (xAI),
Minsuk Kang,
Mitchell Marfinetz,
Mohammad Rezaei,
Mohammed Alobaidi,
Monica Graham,
Monish,
Mridul (xAI),
Muhammad Hashmi,
Mukta  Jaiswal,
mycpuorg,
Myles Gamez,
Naim Miah,
Nalin,
Natalie,
Nathan Cloos,
Neeraj,
Nhan (Nathan) Tran,CS x Film Enthusiast (nhantran.com)
nic,
Nick Pismenkov,
Nico Estrada,
Nicola,
Nidhi Gaonkar,
Nihal Nihalani,
Nikhil Srivastava,
Nikhil Vinod,
Nikita Mullangi,
Nikunj (xAI),
Nisarg Desai,
Noah Gundotra,
Olaoluwasubomi Aduloju,
Oliver Lin,
Olsen,
Omansh,
Omar (xAI),
Omeed Tehrani,grok enthusiast
omkarpodey,
omrajpal,
Oorjit Chowdhary,
Oriel Savir,
Owen Stuckman,
Owen Zhang,
oz,
Padraig Lucey,
Parker Todd Brooks,
Parsa Tajik,
Patrick Z,
Payton Rehling,
Phan,
Pragalvha Sharma,
Pranav Karthik,
Prannay Hebbar,
prashant,
Pravin Lohani,
Punit Singh Koura,
pwang,
Qinyi,
qwani,
r,
Raaid Kabir,
Rachit Gupta,
Rahul Datta,
Raman,
Ramez Faderani,
Rami Botros,
René Sultan,
Reza (Rey) Sanayei,
Richa Sharma,
Ricky Mao,
Rishi Desai,
Rishi Hariharaprasad,
Rochan Madhusudhana (xAI),
Rohan Tandon,
Rongwei,
Rushil Bhat,
Ruthvik Ananthula,
Ruzhang Yang,
ryan,
Ryan Kim,
Rydham Goyal,
Saeejith Nair,
Sahil Chatiwala,
Sajeev Magesh,
Saketh Pabolu,
Saksham Yadav,
sam,
Sam,
Sam Bender,
Sam Karl,
Sam Lu,
Sameer Jivangikar,
Sampson,
Samuel Zhang,
Sanjay Mahalingam,
Sanjay Patnala,
Sankeerth Rao Karingula,
Santiago Medina (xAI),
sara el baghdadi,
sarolla,
Sathvik Balakrishna,
Saurish Srivastava,
sc2925,
Scott Fitzgerald,
Sebastian Escalante,
Sebastian Mandal,
sehoon,
Sergey,
Sezer,
SHA05,
Shaheer Hasan,
shaleen,
Shanay,
Shawn (xAI),
Shawn Thapa (xAI),
Shehbaj Dhillon,
shiva,
Shivansh Manish Soni,
Shreya Amalapurapu,
Shreyas Pimpalgaonkar,
Shri Radha,
Shrinav Loka,
Shubh Mittal,
Shubham Patil,
Siddhant Gupta,
Siddhant Kandge,
Simon (Sanghyuk) Lee,
Simon Shu,
skcd,
skukutla3,
Skylar Wang,
smedinarolong,
Sonya xAI,Professional Cybersecurity Nerd Working at xAI
Sophie Yang,
Spandan Goel,
sparack,
Sri Yanamandra,
St Bokarev,
Stepan Goncharov (xAI),
Stephen Shkeda,
steve,
Steve Derico,
Steve Sahayadarlin,
Steven Zhang,
Suhem,Forward Deployed Engineering (FDE)
Sujay Sreedhar,
sulaiman,
Sumanth Kalluru,
Sumeet Pardeshi,
sungho,
Sunny Jayaram,
surya,
Surya Dantuluri,
Suryansh Singh Rawat,
Syed Rayyan Ali,
Talal,
tapan shah (xAI),
Tawab,
Taylor Caldwell,
Tejas Mahajan,
Theo Luu,
Tiffany Wang,
Tim Rolsh,
Tim-Henrik Buelles,Research Scientist
Timofei Vasilevskii,
Tom Lei,
Tony Wang  (xAI),xAI
Tori Liu,
tpae,
Travis Jones,
Trinayaan Hariharan,
Tyler Chen,
Tyler Li,
Tyler Storm,
Umar Ghani,
Vagmin Viswanathan,
Vamsee Krishna,
Vardhan Agnihotri,
Varun Ramachandran,
Veda,
Vedant Gaur,
Vibha Addala,
Victoria Mackey,
Vignesh Raja,
Vikram Subbiah,
Vin Vadoothker,
Vincent Cheng,
Vincenzo Palazzo,Open Source developer  contributing in many thing like the Rust compiler and the Linux kernel. https://linktr.ee/vincenzopalazzo
Vineet Tambe,
Vineeth Sendilraj,
Vishal Devireddy,SWE @ scorecard.io
Vishnu (Vinnie) Sanigepalli,
Vlad Grichina,
Vladislav Beliaev,
Wei Duan,
Wei Wu,
Wesley BLDC,
William Athanas,
William Misiaszek,
William Zhang,
William Zhao,
Xhuljana (xAI),Tech Recruiter
xiangyi,
Yahya Alhinai,System Performance Architect
Yang Ye,
Yangye Zhu,Tech Leader
Yash Aggarwal,
Yash Gupta,
Yash Mathur,
Yash Thapliyal,
Yassine Guennoun,
Yeoul Shim,
Yev Marusenko  Ph.D.,Growth | ex-Lovable
Yiyang Li,
ynva2001,
Yohannes,
yugap,
Yuming He,
Yunzhi Zhang,
Yuvraj,
Yuvraj Lakhotia,
Yvonne Wang,
Zachary Rosca-Halmagean,
Zara,
Zhaohan Dong,
Zhe,xAI Tooling Team
Zhejian Peng,
zhenghong you,
Zimo,
Zukai Wang,
